M,N,cutoff,factor_ci95_high,factor_ci95_low,factor_probability,lminus_ci95_high,lminus_ci95_low,lminus_probability,mean_lll_runtime_seconds,model,omitted_layers,replicates
16,55,3,0.1701975287864777,0.03383067809543547,0.078125,0.1701975287864777,0.03383067809543547,0.078125,0.0017276009084525867,B_exact_finite_discrete_gaussian,0,64
32,55,0,0.10697493882294247,0.00861195771251659,0.03125,0.10697493882294247,0.00861195771251659,0.03125,0.0020796829576283926,A_uniform_hard_box,4,64
32,55,1,0.22774786330215924,0.064721653926208,0.125,0.22774786330215924,0.064721653926208,0.125,0.001675369205258903,A_uniform_hard_box,3,64
32,55,2,0.36816509174383727,0.16014791974174092,0.25,0.36816509174383727,0.16014791974174092,0.25,0.0016181106730073225,A_uniform_hard_box,2,64
32,55,3,0.528550134954503,0.29456724435258885,0.40625,0.528550134954503,0.29456724435258885,0.40625,0.0016289694403894828,A_uniform_hard_box,1,64
32,55,4,0.5742661747932022,0.3372925148603437,0.453125,0.5742661747932022,0.3372925148603437,0.453125,0.0016192923112612334,A_uniform_hard_box,0,64
32,55,0,0.08334298900290629,0.0027634707504014047,0.015625,0.08334298900290629,0.0027634707504014047,0.015625,0.0017266217637370573,B_exact_finite_discrete_gaussian,4,64
32,55,1,0.056626022971156334,0.0,0.0,0.056626022971156334,0.0,0.0,0.0016890923025130178,B_exact_finite_discrete_gaussian,3,64
32,55,2,0.1898309858327767,0.04367765783128784,0.09375,0.1898309858327767,0.04367765783128784,0.09375,0.0017119095446105348,B_exact_finite_discrete_gaussian,2,64
32,55,3,0.26428290202305327,0.08714748876961673,0.15625,0.26428290202305327,0.08714748876961673,0.15625,0.0016885254053704557,B_exact_finite_discrete_gaussian,1,64
32,55,4,0.24616508394637426,0.07578487006414436,0.140625,0.24616508394637426,0.07578487006414436,0.140625,0.0016929394741964643,B_exact_finite_discrete_gaussian,0,64
8,65,0,0.45001123772545737,0.2257039576708776,0.328125,0.45001123772545737,0.2257039576708776,0.328125,0.0015317200168283307,A_uniform_hard_box,2,64
8,65,1,0.6627074851396563,0.42573382520679776,0.546875,0.6627074851396563,0.42573382520679776,0.546875,0.0015164134711085353,A_uniform_hard_box,1,64
8,65,2,0.6627074851396563,0.42573382520679776,0.546875,0.6627074851396563,0.42573382520679776,0.546875,0.0015068757229528273,A_uniform_hard_box,0,64
8,65,0,0.3343301633077779,0.13502197461349755,0.21875,0.3343301633077779,0.13502197461349755,0.21875,0.0015687538634665543,B_exact_finite_discrete_gaussian,2,64
8,65,1,0.5742661747932022,0.3372925148603437,0.453125,0.5742661747932022,0.3372925148603437,0.453125,0.0015604128147970187,B_exact_finite_discrete_gaussian,1,64
8,65,2,0.5742661747932022,0.3372925148603437,0.453125,0.5742661747932022,0.3372925148603437,0.453125,0.0015884778149484191,B_exact_finite_discrete_gaussian,0,64
16,65,0,0.26428290202305327,0.08714748876961673,0.15625,0.26428290202305327,0.08714748876961673,0.15625,0.0016614146843494382,A_uniform_hard_box,3,64
16,65,1,0.5591400822171212,0.32293817065427327,0.4375,0.5591400822171212,0.32293817065427327,0.4375,0.0016181815908566932,A_uniform_hard_box,2,64
16,65,2,0.7333419611189468,0.5025015331382642,0.625,0.7333419611189468,0.5025015331382642,0.625,0.0015843587525523617,A_uniform_hard_box,1,64
16,65,3,0.7333419611189468,0.5025015331382642,0.625,0.7333419611189468,0.5025015331382642,0.625,0.0016133528242789907,A_uniform_hard_box,0,64
16,65,0,0.2821344149016591,0.0987764126731623,0.171875,0.2821344149016591,0.0987764126731623,0.171875,0.0016997096900013275,B_exact_finite_discrete_gaussian,3,64
16,65,1,0.43392566359152623,0.21230909502265743,0.3125,0.43392566359152623,0.21230909502265743,0.3125,0.0016488606443090248,B_exact_finite_discrete_gaussian,2,64
16,65,2,0.5591400822171212,0.32293817065427327,0.4375,0.5591400822171212,0.32293817065427327,0.4375,0.0016575000199736678,B_exact_finite_discrete_gaussian,1,64
16,65,3,0.5591400822171212,0.32293817065427327,0.4375,0.5591400822171212,0.32293817065427327,0.4375,0.0016533242232981138,B_exact_finite_discrete_gaussian,0,64
32,65,0,0.24616508394637426,0.07578487006414436,0.140625,0.24616508394637426,0.07578487006414436,0.140625,0.0017060129521269118,A_uniform_hard_box,4,64
